playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
Совершенно секретно,Xsovsek,OK,95.82,2026-09-06T21:39:00+00:00,304
Кто есть кто,Xkto-est-kto,OK,94.67,2026-09-06T20:30:00+00:00,315
История,Xistoria,OK,100.42,2026-09-07T02:15:00+00:00,280
365 дней ТВ,X365-dnej,OK,95.33,2026-09-06T21:10:00+00:00,295
Психология 21,Xpsixologia-21,OK,96.0,2026-09-06T21:50:00+00:00,504
Вопросы и ответы,Xvoprosy-i-otvety,OK,95.75,2026-09-06T21:35:00+00:00,281
360°,X360-podmoskovie,OK,100.67,2026-09-07T02:30:00+00:00,478
36.6 HD,X36-6-tv,OK,101.0,2026-09-07T02:50:00+00:00,823
Оружие,Xoruzhie,OK,95.92,2026-09-06T21:45:00+00:00,413
Terra,Xterra-ru,OK,96.08,2026-09-06T21:55:00+00:00,368
Terra HD,Xterra-ru,OK,96.08,2026-09-06T21:55:00+00:00,368
Домашние Животные,Xdomashnie-zhivotnye,OK,100.92,2026-09-07T02:45:00+00:00,696
Ocean TV,Xocean-tv,OK,99.17,2026-09-07T01:00:00+00:00,348
Sea TV HD,Xsea-tv,OK,95.5,2026-09-06T21:20:00+00:00,359
Galaxy,Xgalaxy-tv,OK,96.08,2026-09-06T21:55:00+00:00,350
Моя стихия,Xmorskoy,OK,95.48,2026-09-06T21:19:00+00:00,359
Телепутешествия,Xteleputeshestvia,OK,95.83,2026-09-06T21:40:00+00:00,365
В мире животных HD,Xv-mire-zhivotnyx-hd,OK,95.75,2026-09-06T21:35:00+00:00,302
Первый Космический HD,Xeureka-hd,OK,94.33,2026-09-06T20:10:00+00:00,350
Quiz TV,Xquiz-tv,OK,100.42,2026-09-07T02:15:00+00:00,257
Світло HD,Xepoque,OK,101.07,2026-09-07T02:54:00+00:00,368
Наука,Xnauka,OK,95.32,2026-09-06T21:09:00+00:00,377
Терра,Xterra,OK,95.73,2026-09-06T21:34:00+00:00,395
Фауна,Xfauna,OK,95.67,2026-09-06T21:30:00+00:00,370
Масон ТВ,Xmason-tv,OK,95.43,2026-09-06T21:16:00+00:00,458
Чемодан ТВ HD,Xchemodan,OK,100.67,2026-09-07T02:30:00+00:00,414
UTravel,Xutravel,OK,101.08,2026-09-07T02:55:00+00:00,469
CGTN Русский,Xcctv-ru,OK,94.67,2026-09-06T20:30:00+00:00,441
BOX Docu HD,Xbox-docu,OK,98.77,2026-09-07T00:36:00+00:00,232
BOX Travel HD,Xbox-travel,OK,75.05,2026-09-06T00:53:00+00:00,255
Curiosity Stream HD,Xcuriosity-stream,OK,95.92,2026-09-06T21:45:00+00:00,523
Nautical Channel,Xnautical-channel,OK,96.67,2026-09-06T22:30:00+00:00,422
ЕГЭ ТВ,Xege-tv,OK,95.83,2026-09-06T21:40:00+00:00,849
Кто Куда,Xmir-uvlecheniy,OK,95.75,2026-09-06T21:35:00+00:00,632
Драйв,Xdrive,OK,95.42,2026-09-06T21:15:00+00:00,475
Ключ,Xkluch,OK,100.67,2026-09-07T02:30:00+00:00,234
Т24,Xtexno-24,OK,99.92,2026-09-07T01:45:00+00:00,163
myZen.tv HD,Xmyzen-tv,OK,95.92,2026-09-06T21:45:00+00:00,297
RTG TV,Xrtg-tv,OK,102.17,2026-09-07T04:00:00+00:00,578
Зоопарк,Xzoopark,OK,95.58,2026-09-06T21:25:00+00:00,245
Пёс и Ко,Xpes-i-ko,OK,100.67,2026-09-07T02:30:00+00:00,145
MM Открытия HD,Xminimax-otkritiya,OK,102.55,2026-09-07T04:23:00+00:00,555
Museum 4K,Xmuseum-4k,OK,95.75,2026-09-06T21:35:00+00:00,347
