playlist_name,group,source,source_id,output_tvg_id,now,next,verified_binding_ok,binding_rule
Енисей регион,Россия,iptv-online-primary,Xenisey-region,Xenisey-region,,,,
С1 Сургут,Россия,iptv-online-primary,Xs1-surgut,Xs1-surgut,,,,
86 Сургут,Россия,iptv-online-primary,X86-surgut,X86-surgut,,,,
Волга,Россия,iptv-online-primary,Xvolga,Xvolga,,,,
Волга 24,Россия,iptv-online-primary,Xvremia-n,Xvremia-n,,,,
Ветта 24,Россия,iptv-online-primary,Xvetta24,Xvetta24,,,,
Колыма-Плюс,Россия,iptv-online-primary,Xkolyma-plus,Xkolyma-plus,,,,
БСТ,Россия,iptv-online-primary,Xbst,Xbst,,,,
Щёлково,Россия,iptv-online-primary,Xschelkovo,Xschelkovo,,,,
ТНВ-Планета,Россия,iptv-online-primary,Xtnv-planeta,Xtnv-planeta,,,,
ТНВ-Татарстан,Россия,iptv-online-primary,Xtnv,Xtnv,,,,
NEXT-TV,Россия,iptv-online-primary,Xnext-tv,Xnext-tv,,,,
Мордовия 24,Россия,iptv-online-primary,Xmordovia-24,Xmordovia-24,,,,
НТРК Ингушетия,Россия,iptv-online-primary,Xntrk-ingushetia,Xntrk-ingushetia,,,,
Брянская Губерния,Россия,iptv-online-primary,Xbrianskaya-gubernia,Xbrianskaya-gubernia,,,,
ТВК Красноярск,Россия,iptv-online-primary,Xtvk-krasnoyarsk,Xtvk-krasnoyarsk,,,,
Экспресс,Россия,iptv-online-primary,Xexpress,Xexpress,,,,
РГВК Дагестан,Россия,iptv-online-primary,Xrgvk-dagestan,Xrgvk-dagestan,,,,
Грозный,Россия,iptv-online-primary,Xgrozny,Xgrozny,,,,
Тео-ТВ,Россия,iptv-online-primary,Xteotv,Xteotv,,,,
Евразия,Россия,iptv-online-primary,Xevrasia,Xevrasia,,,,
НТС Иркутск,Россия,iptv-online-primary,Xnts-irkutsk,Xnts-irkutsk,,,,
ТВ-ИН (Магнитогорск),Россия,iptv-online-primary,Xtv-in,Xtv-in,,,,
НВК Саха,Россия,iptv-online-primary,Xsaxa,Xsaxa,,,,
Алмазный край,Россия,iptv-online-primary,Xalmazny-kray,Xalmazny-kray,,,,
Раменское ТВ,Россия,iptv-online-primary,Xramenskoe-tv,Xramenskoe-tv,,,,
Новый век (Тамбов),Россия,iptv-online-primary,Xnovy-vek-tambov,Xnovy-vek-tambov,,,,
Север,Россия,iptv-online-primary,Xsever,Xsever,,,,
Салям,Россия,iptv-online-primary,Xsalam,Xsalam,,,,
Дзержинск ТВ,Россия,iptv-online-primary,Xdzenzhinsk-tv,Xdzenzhinsk-tv,,,,
Якутия 24,Россия,iptv-online-primary,Xyakutia24,Xyakutia24,,,,
Прима,Россия,iptv-online-primary,Xprima,Xprima,,,,
Тивиком HD,Россия,iptv-online-primary,Xtivikom,Xtivikom,,,,
