playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence
Nat Geo Wild,XNat.Geo.Wild.bg,XNat.Geo.Wild.bg,Болгария,BG,iptv-online-primary,XNat.Geo.Wild.bg,id,99
Diema Sport,XDIEMA.SPORT.bg,XDIEMA.SPORT.bg,Болгария,BG,iptv-online-primary,Xdiema-sport-1,name,90
Nickelodeon,XNickelodeon.bg,XNickelodeon.bg,Болгария,BG,iptv-online-primary,XNickelodeon.bg,id,99
Acasa Gold,XAcasa.Gold.ro,XAcasa.Gold.ro,Румыния,RO,iptv-online-primary,XAcasa.Gold.ro,id,99
Acasa HD,XAcasa.ro,XAcasa.ro,Румыния,RO,iptv-online-primary,XAcasa.ro,id,99
Alfa omega HD,XAlfa.Omega.TV.ro,XAlfa.Omega.TV.ro,Румыния,RO,iptv-online-primary,XAlfa.Omega.TV.ro,id,99
AMC,XAMC.ro,XAMC.ro,Румыния,RO,iptv-online-primary,XAMC.ro,id,99
Antena 1,XAntena.1.ro,XAntena.1.ro,Румыния,RO,iptv-online-primary,XAntena.1.ro,id,99
Antena 3 HD RO,XAntena.3.CNN.ro,XAntena.3.CNN.ro,Румыния,RO,iptv-online-primary,XAntena.3.CNN.ro,id,99
Antena 3,XAntena.3.CNN.ro,XAntena.3.CNN.ro,Румыния,RO,iptv-online-primary,XAntena.3.CNN.ro,id,99
Antena stars,XAntena.Stars.ro,XAntena.Stars.ro,Румыния,RO,iptv-online-primary,XAntena.Stars.ro,id,99
Kanal D HD RO,XKanal.D.HD.ro,XKanal.D.HD.ro,Румыния,RO,iptv-online-primary,XKanal.D.HD.ro,id,99
Kanal D,XKanal.D.ro,XKanal.D.ro,Румыния,RO,iptv-online-primary,XKanal.D.ro,id,99
Credo TV,XCredo.TV.ro,XCredo.TV.ro,Румыния,RO,iptv-online-primary,XCredo.TV.ro,id,99
Digi sport 1 HD,XDigi.Sport.1.HD.ro,XDigi.Sport.1.HD.ro,Румыния,RO,iptv-online-primary,XDigi.Sport.1.HD.ro,id,99
Digi sport 2 HD,XDigi.Sport.2.HD.ro,XDigi.Sport.2.HD.ro,Румыния,RO,iptv-online-primary,XDigi.Sport.2.HD.ro,id,99
Digi24,XDigi.24.HD.ro,XDigi.24.HD.ro,Румыния,RO,iptv-online-primary,XDigi.24.HD.ro,id,99
