playlist_name,group,expected_tvg_id,actual_tvg_id,actual_tvg_name,epg_validated,duplicate_name_count,status
Bear TV МегаФільм UA HD,,bear_tv_megafilm,,,True,0,mapped_channel_missing_from_worker
Bear TV Movie UA HD,,bear_tv_movie_ua,,,True,0,mapped_channel_missing_from_worker
Bear TV Мульт 24 UA HD,,bear_tv_mult_24,,,True,0,mapped_channel_missing_from_worker
Bear TV Мульт Анімація UA HD,,bear_tv_mult_animatsiya,,,True,0,mapped_channel_missing_from_worker
Bear TV Дитячий Світ UA HD,,bear_tv_mult_dytyachyy_svit,,,True,0,mapped_channel_missing_from_worker
Bear TV Мульт Хіт UA HD,,bear_tv_mult_hit,,,True,0,mapped_channel_missing_from_worker
Bear TV Kids Кіно UA HD,,bear_tv_mult_kids_kino,,,True,0,mapped_channel_missing_from_worker
Bear TV Малий Екран UA HD,,bear_tv_mult_malyy_ekran,,,True,0,mapped_channel_missing_from_worker
Bear TV Мульт Мікс UA HD,,bear_tv_mult_miks,,,True,0,mapped_channel_missing_from_worker
Bear TV Сімейні Мульти UA HD,,bear_tv_mult_simeyni,,,True,0,mapped_channel_missing_from_worker
Bear TV МультСвіт UA HD,,bear_tv_mult_svit,,,True,0,mapped_channel_missing_from_worker
Bear TV МультЗал UA HD,,bear_tv_mult_zal,,,True,0,mapped_channel_missing_from_worker
Bear TV Нічний Сеанс UA HD,,bear_tv_nichnyy_seans,,,True,0,mapped_channel_missing_from_worker
Bear TV Прем'єра UA HD,,bear_tv_prem_yera,,,True,0,mapped_channel_missing_from_worker
Bear TV Сеанс 24 UA HD,,bear_tv_seans_24,,,True,0,mapped_channel_missing_from_worker
Bear TV Сімейний Вечір UA HD,,bear_tv_simeynyy_vechir,,,True,0,mapped_channel_missing_from_worker
Bear TV Світ Кіно UA HD,,bear_tv_svit_kino,,,True,0,mapped_channel_missing_from_worker
Bear TV Топ Кіно UA HD,,bear_tv_top_kino,,,True,0,mapped_channel_missing_from_worker
Bear TV Український Сеанс UA HD,,bear_tv_ukrayinskyy_seans,,,True,0,mapped_channel_missing_from_worker
Bear TV Улюблені Фільми UA HD,,bear_tv_ulyubleni_filmy,,,True,0,mapped_channel_missing_from_worker
Bear TV Вечірнє Кіно UA HD,,bear_tv_vechirnye_kino,,,True,0,mapped_channel_missing_from_worker
Bear TV Велике Кіно UA HD,,bear_tv_velyke_kino,,,True,0,mapped_channel_missing_from_worker
Bear TV Великий Екран UA HD,,bear_tv_velykyy_ekran,,,True,0,mapped_channel_missing_from_worker
Bear TV Вибір Глядача UA HD,,bear_tv_vybir_glyadacha,,,True,0,mapped_channel_missing_from_worker
Bear TV Золота Колекція UA HD,,bear_tv_zolota_kolektsiya,,,True,0,mapped_channel_missing_from_worker
M1 HD,,Xm1-ua,,,True,0,mapped_channel_missing_from_worker
M2 HD,,Xm2-ua,,,True,0,mapped_channel_missing_from_worker
Конкурент.Україна,,Xkonkurent-ua,,,True,0,mapped_channel_missing_from_worker
Суспільне Полтава,,suspilne-poltava,,,True,0,mapped_channel_missing_from_worker
Первый городской Одесса,,pervy-gorodskoy-odessa,,,True,0,mapped_channel_missing_from_worker
BCU_UTIFY_3_HD,,bcu-history,,,True,0,mapped_channel_missing_from_worker
CPS Fresh UA,,cps-fresh-ua,,,True,0,mapped_channel_missing_from_worker
UA:Перший,,Xua-pershy,,,True,0,mapped_channel_missing_from_worker
