playlist_name,playlist_tvg_id,group,region,family,candidate_reason,automatic_recovery_allowed
Joker:Коломбо,jk_Colombo,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Корона,jk_korona,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Панда Кун-фу,jk_panda,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Пограбування,jk_ograblenie,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Пуститися берега,jk_berega,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Русалочка,jk_rusaloshka,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Свинка Пепа,jk_Pepa_pig,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Формула,jk_formula,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Фубар,jk_FUBAR,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Футурама,jk_futurama,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Чорне дзеркало,jk_Black_Mirror,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Шерлок,jk_Sherlock,Кинозалы UA,,Joker,cyrillic-topical-group,no
Joker:Щенячий патруль,jk_PAW_Patrol,Кинозалы UA,,Joker,cyrillic-topical-group,no
Play-X Украинский кинозал 1 HD,,Кинозалы UA,,Play-X,cyrillic-topical-group,no
Play-X Украинский кинозал 2 HD,,Кинозалы UA,,Play-X,cyrillic-topical-group,no
Play-X Фильмы про войну в Украине,,Кинозалы UA,,Play-X,cyrillic-topical-group,no
Play-X Дискотека 90-х,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Золото шансона,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Муз коллекция Дитер Болен,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Музыкальная дорожка 90-х,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Русский рок,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Хиты 80-x HD,,Музыкальные,,Play-X,cyrillic-topical-group,no
Play-X Хиты 90-х HD,,Музыкальные,,Play-X,cyrillic-topical-group,no
DITV 4К,,Познавательные,,DITV,cyrillic-topical-group,no
DITV Дикая природа 4К,,Познавательные,,DITV,cyrillic-topical-group,no
DITV Кулинария,,Познавательные,,DITV,cyrillic-topical-group,no
RU.TV,Xru-tv-by,Беларусь,BY,Other: TV,provider-region,review
СкиФ Витебск,Xskif-vitebsk,Беларусь,BY,Other: СкиФ,provider-region,review
Спорт ТВ [BY],Xsport-tv-by,Беларусь,BY,Other: Спорт,provider-region,review
Центр BY,,Беларусь,BY,Other: Центр,provider-region,review
Viju TV1000 Новелла,Xviju-tv1000-novella,Кино,,Other: Viju,cyrillic-topical-group,review
Детектив HD,,Кино,,Other: Детектив,cyrillic-topical-group,review
Кино 24/7,,Кино,,Other,cyrillic-topical-group,review
Кино Топ,,Кино,,Other: Топ,cyrillic-topical-group,review
Кинобоевик,Xkinoboevik-kz,Кино,,Other: Кинобоевик,cyrillic-topical-group,review
Кинодрама,Xq-kino-hit,Кино,,Other: Кинодрама,cyrillic-topical-group,review
Кинодром,,Кино,,Other: Кинодром,cyrillic-topical-group,review
Киножелезо HD,,Кино,,Other: Киножелезо,cyrillic-topical-group,review
Кинолаффка HD,,Кино,,Other: Кинолаффка,cyrillic-topical-group,review
Киносериал,Xq-kino-alem,Кино,,Other: Киносериал,cyrillic-topical-group,review
Лента Кино,,Кино,,Other: Лента,cyrillic-topical-group,review
Мировое Кино,Xmirovoe-kino-kz,Кино,,Other: Мировое,cyrillic-topical-group,review
Наше любимое кино UA,Xnashe-lubimoe-kino-ua,Кино,,Other: Наше,cyrillic-topical-group,review
Новый Русский HD,,Кино,,Other: Новый,cyrillic-topical-group,review
Окко ТВ H,Xbubokko-tv,Кино,,Other: Окко,cyrillic-topical-group,review
Пес HD,,Кино,,Other: Пес,cyrillic-topical-group,review
Премиум Кино,Xpremium-kino-kz,Кино,,Other: Премиум,cyrillic-topical-group,review
Семейное Кино,Xsemejnoe-kino-kz,Кино,,Other: Семейное,cyrillic-topical-group,review
Честный Детекти,,Кино,,Other: Честный,cyrillic-topical-group,review
Bear TV Великий Екран UA HD,bear_tv_velykyy_ekran,Кинозалы UA,,Other: Bear,cyrillic-topical-group,review
Bear TV Малий Екран UA HD,bear_tv_mult_malyy_ekran,Кинозалы UA,,Other: Bear,cyrillic-topical-group,review
Bear TV Мульт 24 UA HD,bear_tv_mult_24,Кинозалы UA,,Other: Bear,cyrillic-topical-group,review
Bear TV МультЗал UA HD,bear_tv_mult_zal,Кинозалы UA,,Other: Bear,cyrillic-topical-group,review
Bear TV Сеанс 24 UA HD,bear_tv_seans_24,Кинозалы UA,,Other: Bear,cyrillic-topical-group,review
SWEET КIНО HD,,Кинозалы UA,,Other: SWEET,cyrillic-topical-group,review
Картковий Будинок,jk_house_of_cards,Кинозалы UA,,Other: Картковий,cyrillic-topical-group,review
Кохання на виживання HD,,Кинозалы UA,,Other: Кохання,cyrillic-topical-group,review
На Трьох HD,,Кинозалы UA,,Other: На,cyrillic-topical-group,review
Полювання на в бивцю HD,,Кинозалы UA,,Other: Полювання,cyrillic-topical-group,review
Релакс,jk_relax,Кинозалы UA,,Other: Релакс,cyrillic-topical-group,review
Романтичний Марафон HD,,Кинозалы UA,,Other: Романтичний,cyrillic-topical-group,review
Ховаючи колишню HD,,Кинозалы UA,,Other: Ховаючи,cyrillic-topical-group,review
Live Музыка,,Музыкальные,,Other: Live,cyrillic-topical-group,review
PAI Музика,,Музыкальные,,Other: PAI,cyrillic-topical-group,review
Легенды Ретро FM,,Музыкальные,,Other: Легенды,cyrillic-topical-group,review
Наше Ретро,,Музыкальные,,Other: Наше,cyrillic-topical-group,review
Континент Е,,Познавательные,,Other: Континент,cyrillic-topical-group,review
Орел и Решка,,Познавательные,,Other: Орел,cyrillic-topical-group,review
Чемодан ТВ HD,Xchemodan,Познавательные,,Other: Чемодан,cyrillic-topical-group,review
Закон,Xzakon-tv,Разное,,Other: Закон,cyrillic-topical-group,review
News Front,,Россия,RU,Other: News,provider-region,review
Rutube TV,Xrutube-tv,Россия,RU,Other: Rutube,provider-region,review
Sochi Live,Xsochi-live,Россия,RU,Other: Sochi,provider-region,review
Вестник Надыма,Xvestnik-nadyma,Россия,RU,Other: Вестник,provider-region,review
Витрина,,Россия,RU,Other: Витрина,provider-region,review
ВТК 41 Аргус,,Россия,RU,Other: ВТК,provider-region,review
Планета РТР,Xrtr-planeta-eu,Россия,RU,Other: Планета,provider-region,review
Раменское ТВ,Xramenskoe-tv,Россия,RU,Other: Раменское,provider-region,review
ТВЦ International,Xtvci,Россия,RU,Other: ТВЦ,provider-region,review
Телеплюс,,Россия,RU,Other: Телеплюс,provider-region,review
УПЛ ТВ 1,Xupltv1,Спорт,,Other: УПЛ,cyrillic-topical-group,review
УПЛ ТВ 2,Xupltv2,Спорт,,Other: УПЛ,cyrillic-topical-group,review
УПЛ ТВ 3,Xupltv3,Спорт,,Other: УПЛ,cyrillic-topical-group,review
Eспресо TV,Xespreso-tv,Украинские,UA,Other: Eспресо,cyrillic-topical-group,review
TIC (Одеса),,Украинские,UA,Other: TIC,cyrillic-topical-group,review
UA: Херсон,Xua-xerson,Украинские,UA,Other: Херсон,cyrillic-topical-group,review
UA:Одесcа,Xua-odesa,Украинские,UA,Other: Одесcа,cyrillic-topical-group,review
Апостроф TV,Xapostrof,Украинские,UA,Other: Апостроф,cyrillic-topical-group,review
Вар'яти HD,,Украинские,UA,Other: Вар,cyrillic-topical-group,review
Вещдок HD,,Украинские,UA,Other: Вещдок,cyrillic-topical-group,review
Детективи HD,,Украинские,UA,Other: Детективи,cyrillic-topical-group,review
ЖВЛ+,,Украинские,UA,Other: ЖВЛ+,cyrillic-topical-group,review
Исландия,Xislandiya,Украинские,UA,Other: Исландия,cyrillic-topical-group,review
Конкурент TV,,Украинские,UA,Other: Конкурент,cyrillic-topical-group,review
Мастер Шеф,,Украинские,UA,Other: Мастер,cyrillic-topical-group,review
Мелодрами,,Украинские,UA,Other: Мелодрами,cyrillic-topical-group,review
НТК КОЛОМИЯ,,Украинские,UA,Other: НТК,cyrillic-topical-group,review
Опер за викликом,,Украинские,UA,Other: Опер,cyrillic-topical-group,review
СК1,,Украинские,UA,Other: СК1,cyrillic-topical-group,review
Снятин HD,,Украинские,UA,Other: Снятин,cyrillic-topical-group,review
Справа НБР HD,,Украинские,UA,Other: Справа,cyrillic-topical-group,review
ТРК Круг,,Украинские,UA,Other: ТРК,cyrillic-topical-group,review
