playlist_name,group,expected_tvg_id,actual_tvg_id,actual_tvg_name,epg_validated,duplicate_name_count,status
Катунь 24,Россия,Xkatun-24,Xkatun-24,Катунь 24,True,1,ok
Енисей регион,Россия,Xenisey-region,Xenisey-region,Енисей регион,True,1,ok
С1 Сургут,Россия,Xs1-surgut,Xs1-surgut,С1 Сургут,True,1,ok
86 Сургут,Россия,X86-surgut,X86-surgut,86 Сургут,True,1,ok
Волга,Россия,Xvolga,Xvolga,Волга,True,1,ok
Волга 24,Россия,Xvremia-n,Xvremia-n,Волга 24,True,1,ok
Ветта 24,Россия,Xvetta24,Xvetta24,Ветта 24,True,1,ok
Колыма-Плюс,Россия,Xkolyma-plus,Xkolyma-plus,Колыма-Плюс,True,1,ok
Телеплюс,Россия,,,Телеплюс,False,1,ok
БСТ,Россия,Xbst,Xbst,БСТ,True,1,ok
Щёлково,Россия,Xschelkovo,Xschelkovo,Щёлково,True,1,ok
ТНВ-Планета,Россия,Xtnv-planeta,Xtnv-planeta,ТНВ-Планета,True,1,ok
ТНВ-Татарстан,Россия,Xtnv,Xtnv,ТНВ-Татарстан,True,1,ok
NEXT-TV,Россия,Xnext-tv,Xnext-tv,NEXT-TV,True,1,ok
Мордовия 24,Россия,Xmordovia-24,Xmordovia-24,Мордовия 24,True,1,ok
НТРК Ингушетия,Россия,Xntrk-ingushetia,Xntrk-ingushetia,НТРК Ингушетия,True,1,ok
Брянская Губерния,Россия,Xbrianskaya-gubernia,Xbrianskaya-gubernia,Брянская Губерния,True,1,ok
ТВК Красноярск,Россия,Xtvk-krasnoyarsk,Xtvk-krasnoyarsk,ТВК Красноярск,True,1,ok
Экспресс,Россия,Xexpress,Xexpress,Экспресс,True,1,ok
РГВК Дагестан,Россия,Xrgvk-dagestan,Xrgvk-dagestan,РГВК Дагестан,True,1,ok
Грозный,Россия,Xgrozny,Xgrozny,Грозный,True,1,ok
Тео-ТВ,Россия,Xteotv,Xteotv,Тео-ТВ,True,1,ok
Евразия,Россия,Xevrasia,Xevrasia,Евразия,True,1,ok
НТС Иркутск,Россия,Xnts-irkutsk,Xnts-irkutsk,НТС Иркутск,True,1,ok
НВК Саха,Россия,Xsaxa,Xsaxa,НВК Саха,True,1,ok
Алмазный край,Россия,Xalmazny-kray,Xalmazny-kray,Алмазный край,True,1,ok
Раменское ТВ,Россия,Xramenskoe-tv,Xramenskoe-tv,Раменское ТВ,True,1,ok
Салям,Россия,Xsalam,Xsalam,Салям,True,1,ok
Дзержинск ТВ,Россия,Xdzenzhinsk-tv,Xdzenzhinsk-tv,Дзержинск ТВ,True,1,ok
Якутия 24,Россия,Xyakutia24,Xyakutia24,Якутия 24,True,1,ok
Прима,Россия,Xprima,Xprima,Прима,True,1,ok
Тивиком HD,Россия,Xtivikom,Xtivikom,Тивиком HD,True,1,ok
АСТВ Южно-Сахалинск,Россия,Xastvus,Xastvus,АСТВ Южно-Сахалинск,True,1,ok
ВТК 41 Аргус,Россия,,,ВТК 41 Аргус,False,1,ok
Майдан,Россия,Xmaydan,Xmaydan,Майдан,True,1,ok
Хузур ТВ,Россия,Xxuzur-tv,Xxuzur-tv,Хузур ТВ,True,2,ok
Теледом HD,Россия,Xteledom,Xteledom,Теледом HD,True,1,ok
Shopping Live,Россия,X	shopping-live,X	shopping-live,Shopping Live,True,1,ok
Витрина,Россия,,,Витрина,False,1,ok
Самотлор (Нижневартовск),Россия,Xsamotlor-nv,Xsamotlor-nv,Самотлор (Нижневартовск),True,1,ok
Rutube TV,Россия,,Xrutube-tv,Rutube TV,False,1,ok
Viasat Kino HD,Кино,Xtv1000-cee,Xtv1000-cee,Viasat Kino HD,True,1,ok
Viasat Kino Action HD,Кино,Xtv1000-action-cee,Xtv1000-action-cee,Viasat Kino Action HD,True,1,ok
Viasat True Crime CEE,Познавательные,Xviasat-true-crime-cee,Xviasat-true-crime-cee,Viasat True Crime CEE,True,1,ok
Viasat Kino Comedy HD,Кино,Xvip-comedy-cee,Xvip-comedy-cee,Viasat Kino Comedy HD,True,1,ok
Viasat Kino World,Кино,Xtv1000-worldkino,Xtv1000-worldkino,Viasat Kino World,True,1,ok
Viasat Serial,Сериалы,Xviasat-serial,Xviasat-serial,Viasat Serial,True,1,ok
Viju TV1000,Кино,Xtv1000,Xtv1000,Viju TV1000,True,1,ok
Viju TV1000 HD,Кино,Xtv1000,Xtv1000,Viju TV1000 HD,True,1,ok
Viju TV1000 Action,Кино,Xtv1000-action,Xtv1000-action,Viju TV1000 Action,True,1,ok
Viju TV1000 Action HD,Кино,Xtv1000-action,Xtv1000-action,Viju TV1000 Action HD,True,1,ok
Viju TV1000 Новелла,Кино,Xviju-tv1000-novella,Xviju-tv1000-novella,Viju TV1000 Новелла,True,1,ok
Viju TV1000 Русское кино HD,Кино,Xtv1000-russkoe-kino,Xtv1000-russkoe-kino,Viju TV1000 Русское кино HD,True,1,ok
Viju TV1000 Русское кино,Кино,Xtv1000-russkoe-kino,Xtv1000-russkoe-kino,Viju TV1000 Русское кино,True,1,ok
Viju TV1000 Romantica,Сериалы,Xviju-tv1000-romantica,Xviju-tv1000-romantica,Viju TV1000 Romantica,True,1,ok
Viju+ Serial HD,Сериалы,Xvip-serial,Xvip-serial,Viju+ Serial HD,True,1,ok
Viju+ Comedy HD,Кино,Xvip-comedy,Xvip-comedy,Viju+ Comedy HD,True,1,ok
Viju+ Megahit HD,Кино,Xvip-megahit,Xvip-megahit,Viju+ Megahit HD,True,1,ok
Viju+ Premiere HD,Кино,Xvip-premiere,Xvip-premiere,Viju+ Premiere HD,True,1,ok
Душевное HD,Кино,Xdushevnoe-hd,Xdushevnoe-hd,Душевное HD,True,1,ok
Наше крутое HD,Кино,Xnash-detektiv,Xnash-detektiv,Наше крутое HD,True,1,ok
Наше любимое HD,Кино,Xnashe-lubimoe,Xnashe-lubimoe,Наше любимое HD,True,1,ok
KINOGRANDE HD,Кино,Xnashe-lubimoe-kino-ua,Xnashe-lubimoe-kino-ua,KINOGRANDE HD,True,1,ok
Наш Кинопоказ HD,Кино,Xnash-kinopokaz,Xnash-kinopokaz,Наш Кинопоказ HD,True,1,ok
Наше Мужское HD,Сериалы,Xnashe-muzhskoe,Xnashe-muzhskoe,Наше Мужское HD,True,1,ok
KION Хит,Кино,Xkion-xit,Xkion-xit,KION Хит,True,1,ok
Хит HD,Сериалы,Xkhit,Xkhit,Хит HD,True,1,ok
Блокбастер HD,Кино,Xblokbaster,Xblokbaster,Блокбастер HD,True,1,ok
Остросюжетное HD,Кино,Xostrosiuzhetnoe-hd,Xostrosiuzhetnoe-hd,Остросюжетное HD,True,1,ok
Страшное HD,Кино,Xstrashnoe-hd,Xstrashnoe-hd,Страшное HD,True,1,ok
Киноужас HD,Кино,Xkinouzhas,Xkinouzhas,Киноужас HD,True,1,ok
Про Любовь HD,Кино,Xpro-lyubov,Xpro-lyubov,Про Любовь HD,True,1,ok
Премиальное HD,Кино,Xkinopremium-hd,Xkinopremium-hd,Премиальное HD,True,1,ok
Кинопремьера HD,Кино,Xkinopremiera-hd,Xkinopremiera-hd,Кинопремьера HD,True,1,ok
Камеди HD,Кино,Xkamedi,Xkamedi,Камеди HD,True,1,ok
Кинохит,Кино,Xkinoxit,Xkinoxit,Кинохит,True,1,ok
Киносемья,Кино,Xkinosemiya,Xkinosemiya,Киносемья,True,1,ok
Киносемья HD,Кино,Xkinosemiya,Xkinosemiya,Киносемья HD,True,1,ok
Киносвидание,Кино,Xkinosvidanie,Xkinosvidanie,Киносвидание,True,1,ok
Кинокомедия,Кино,Xkinokomedia,Xkinokomedia,Кинокомедия,True,1,ok
Шокирующее,Кино,Xshokiruyushchee-hd,Xshokiruyushchee-hd,Шокирующее,True,1,ok
Комедийное,Кино,Xkomedijnoe-hd,Xkomedijnoe-hd,Комедийное,True,1,ok
Лавстори HD,Сериалы,Xlavstori,Xlavstori,Лавстори HD,True,1,ok
Premium HD,Кино,premium-hd,premium-hd,Premium HD,True,1,ok
Premiere HD,Кино,Xpremiere-hd,Xpremiere-hd,Premiere HD,True,1,ok
VHS HD,Кино,,,,False,1,ok
Thriller HD,Кино,,,,False,1,ok
РуКино HD,Кино,ocr-833d3e568fc81e,ocr-833d3e568fc81e,РуКино HD,False,1,no_validated_programme
Serial HD,Сериалы,Xserial-hd,Xserial-hd,Serial HD,True,1,ok
Paradise HD,Кино,Xparadise-hd,Xparadise-hd,Paradise HD,True,1,ok
Victory HD,Кино,Xvictory-hd,Xvictory-hd,Victory HD,True,1,ok
USSR HD,USSR,Xussr-premieregroup,Xussr-premieregroup,USSR HD,True,1,ok
Paradox HD,Кино,Xparadox-hd,Xparadox-hd,Paradox HD,True,1,ok
Insomnia HD,Кино,,,,False,1,ok
AMEDIA 1 HD,Кино,Xamedia1,Xamedia1,AMEDIA 1 HD,True,1,ok
Amedia 1,Кино,Xamedia1,Xamedia1,Amedia 1,True,1,ok
Amedia 2,Кино,Xamedia2,Xamedia2,Amedia 2,True,1,ok
Amedia Hit,Сериалы,Xamedia-hit,Xamedia-hit,Amedia Hit,True,1,ok
AMEDIA Premium HD,Кино,Xamedia-premium,Xamedia-premium,AMEDIA Premium HD,True,1,ok
Amedia premium,Кино,Xamedia-premium,Xamedia-premium,Amedia premium,True,1,ok
Fox Life HD,Сериалы,Xfoxlife,Xfoxlife,Fox Life HD,True,1,ok
Fox Life,Сериалы,Xfoxlife,Xfoxlife,Fox Life,True,1,ok
Fox HD,Сериалы,Xfox,Xfox,Fox HD,True,1,ok
Fox,Сериалы,Xfox,Xfox,Fox,True,1,ok
.black,Кино,Xsony-turbo,Xsony-turbo,.black,True,1,ok
.red SD,Кино,Xsony-enter,Xsony-enter,.red SD,True,1,ok
.red HD,Сериалы,Xsony-tv,Xsony-tv,.red HD,True,1,ok
.sci-fi,Сериалы,Xsony-scifi,Xsony-scifi,.sci-fi,True,1,ok
AMC,Кино,amc,amc,AMC,True,2,ok
Premiere HD 1,Кино,Xpremierehd1,Xpremierehd1,Premiere HD 1,True,1,ok
Premiere HD 2,Кино,Xpremierehd2,Xpremierehd2,Premiere HD 2,True,1,ok
Premiere HD 3,Кино,Xpremierehd3,Xpremierehd3,Premiere HD 3,True,1,ok
Premiere HD 4,Кино,Xpremierehd4,Xpremierehd4,Premiere HD 4,True,1,ok
Bollywood HD,Кино,Xbollywood-hd,Xbollywood-hd,Bollywood HD,True,1,ok
