family,playlist_name,playlist_tvg_id,group,region
Other: Historia,Historia,,Испания,
Other: History,History HD DE,X76634,Германия,DE
Other: History,History 2,,Испания,
Other: History,History HD,Xhistory-ru,Познавательные,
Other: HLN,HLN Live,,BE & NL,BE/NL
Other: Hohenrausch,Hohenrausch,,Германия,DE
Other: HOT,HOT Drama,,Израиль,IL
Other: Hot,Hot HBO HD,X991611,Израиль,IL
Other: House,House Floor,,Музыкальные,
Other: Hype,Hype Radio TV,,Музыкальные,
Other: i24,i24 News,,Израиль,IL
Other: IBIZA,IBIZA TV,,Музыкальные,
Other: Impact,Impact TV 2,,Музыкальные,
Other: Impact,Impact TV Dance,,Музыкальные,
Other: Infinity,Infinity,,Музыкальные,
Other: Insomnia,Insomnia HD,Xinsomnia-hd,Кино,
Other: Investigation,Investigation Discovery,,Эстония,
Other: Israel,Israel Music,,Израиль,IL
Other: Italia,Italia 2 News,,Италия,IT
Other: Junior,Junior,,Израиль,IL
Other: Jurmala,TV Jurmala HD,XTV.Jūrmala.(Skatītāju.izvēle).lv,Латвия,LV
Other: Jurnal,Jurnal TV HD,,Молдова,MD
Other: Just,Just Cooking HD,,Германия,DE
Other: Just,Just Fishing HD,,Германия,DE
Other: Kabala,Kabala,,Израиль,IL
Other: Kabbalah,Kabbalah,,Израиль,IL
Other: Kan,Kan Educational,,Израиль,IL
Other: Ketnet,Ketnet Junior,,BE & NL,BE/NL
Other: Kids,Kids Stars HD,,Болгария,BG
Other: Kinoerotica,Kinoerotica HD,no_epg_xxx,Для взрослых,
Other: Knesset,Knesset Channel,XKnessetChannel.il,Израиль,IL
Other: Konservatorebi,Konservatorebi,,Грузия,GE
Other: LA,LA 1 HD ES,,Испания,
Other: LA,LA 2 HD ES,,Испания,
Other: LA,LA 8,,Испания,
Other: La,La 7 HD,,Италия,IT
Other: LaC,LaC,,Италия,IT
Other: LaC,LaC On Air,,Италия,IT
Other: Lancelot,Lancelot TV,,Испания,
Other: LangLab,LangLab,,Германия,DE
Other: LCI,LCI HD,,BE & NL,BE/NL
Other: Limburg,Limburg 1,,BE & NL,BE/NL
Other: Limburg,TV Limburg,,BE & NL,BE/NL
Other: Live,Live Музыка,,Музыкальные,
Other: Live,Live Sport 1,,Спорт,
Other: Live,Live Sport 2,,Спорт,
Other: Logi,Logi,,Израиль,IL
Other: LRT,LRT Klasika,Xlrt-klasika-lt,Латвия,LV
Other: LRT,LRT Opus,Xlrt-opus-lt,Латвия,LV
Other: LRT,LRT Radijas,Xlrt-radijas-lt,Латвия,LV
Other: LRT,LRT TV,,Латвия,LV
Other: Luban,TV Luban,,Польша,PL
Other: Luli,Luli TV,,Израиль,IL
Other: M-1,M-1,,Латвия,LV
Other: M6,M6 4K,,BE & NL,BE/NL
Other: Makan,Makan 33 IL,X991780,Израиль,IL
Other: Man,Man City 24/7,,Спорт,
Other: Mega,Mega TV,,Грузия,GE
Other: Melodie,Melodie TV NEU,,Германия,DE
Other: Ment,Ment Pop,,BE & NL,BE/NL
Other: Mijas,Mijas TV,,Испания,
