family,playlist_name,playlist_tvg_id,group,region
Other: НТВ,НТВ Сериал Следствие Вели,no_epg_cinema,Кино,
Other: НТВ,НТВ Сериал Шеф,no_epg_cinema,Кино,
Other: Орел,Орел и Решка,,Познавательные,
Other: ОХ-АХ,ОХ-АХ HD,no_epg_xxx,Для взрослых,
Other: Пес,Пес HD,,Кино,
Other: Планета,Планета Фолк,,Болгария,BG
Other: Родина,Родина ТВ,,Болгария,BG
Other: РуКино,РуКино HD,Xrukino-hd,Кино,
Other: Сер,Серіал Україна 1,,Кино,
Other: Сер,Серіал Україна 2,,Кино,
Other: ТВ,ТВ Скат,Xskat.bg,Болгария,BG
Other: Телеплюс,Телеплюс,,Россия,RU
Other: Топ,Кино Топ,,Кино,
Other: Тянков,Тянков Ориент,,Болгария,BG
Other: УПЛ,УПЛ ТВ 1,Xupltv1,Спорт,
Other: УПЛ,УПЛ ТВ 2,Xupltv2,Спорт,
Other: УПЛ,УПЛ ТВ 3,Xupltv3,Спорт,
Other: Фен,Фен Фолк,,Болгария,BG
Other: Центр,Центр BY,,Беларусь,BY
Other: Честный,Честный Детекти,,Кино,
Play-X,Play-X Военные сериалы,,Кино,
Play-X,Play-X Кухня,,Кино,
Play-X,Play-X Леонид Гайдай,,Кино,
Play-X,Play-X Retro Disco,,Музыкальные,
Play-X,Play-X UA music,,Музыкальные,
Play-X,Play-X Дискотека 90-х,,Музыкальные,
Play-X,Play-X Золото шансона,,Музыкальные,
Play-X,Play-X Муз коллекция Дитер Болен,,Музыкальные,
Play-X,Play-X Музыкальная дорожка 90-х,,Музыкальные,
Play-X,Play-X Русский рок,,Музыкальные,
Play-X,Play-X Хиты 80-x HD,,Музыкальные,
Play-X,Play-X Хиты 90-х HD,,Музыкальные,
Velilla,Velilla TV Cartoons Disney 4K,cartoonsdisney,Детские,
