group,playlist_name,provider_name,provider_tvg_id,output_tvg_id,programme_count,current_count,future_count,current_mode,status
Кино,Amazon Prime Romance,Amazon Prime Romance,,,0,0,0,,NO_MAPPING
Кино,Честный Детектив,Честный Детектив,Xchestny-detektiv,Xchestny-detektiv,112,0,0,,NO_CURRENT_PROGRAMME;NO_NEXT_PROGRAMME
Кино,Plan B,Plan B,Xplan-b,Xplan-b,127,1,38,EPG,OK
Кино,Киноджем 1 HD,Киноджем 1 HD,Xkinojam1,Xkinojam1,145,1,40,EPG,OK
Кино,Киноджем 2 HD,Киноджем 2 HD,Xkinojam2,Xkinojam2,121,1,36,EPG,OK
Кино,FamilyJam,FamilyJam,Xfamilyjam,Xfamilyjam,140,1,35,EPG,OK
Кино,Go3 Films,Go3 Films,Xtv1000-premium,Xtv1000-premium,98,1,29,EPG,OK
Кино,FilmZone,FilmZone,Xfilmzone,Xfilmzone,117,1,31,EPG,OK
Кино,FilmZone Plus,FilmZone Plus,Xfilmzone-plus-lt,,0,0,0,,NO_MAPPING
Кино,FilmBox+ One,FilmBox+ One,Xfilmbox-ru,Xfilmbox-ru,111,1,31,EPG,OK
Кино,FilmBox+ festival,FilmBox+ festival,Xfilmbox-arthouse,Xfilmbox-arthouse,133,1,35,EPG,OK
Кино,Дорама,Дорама,Xdorama,Xdorama,155,1,45,EPG,OK
Кино,Star Cinema HD,Star Cinema HD,Xstar-cinema-ua,Xstar-cinema-ua,81,1,20,EPG,OK
Кино,Star Cinema,Star Cinema,Xstar-cinema-ua,Xstar-cinema-ua,81,1,20,EPG,OK
Кино,Star Family HD,Star Family HD,Xstar-family-ua,,0,0,0,,NO_MAPPING
Кино,Кинодрама,Кинодрама,Xq-kino-hit,Xq-kino-hit,247,1,69,EPG,OK
Кино,Семейное Кино,Семейное Кино,Xsemejnoe-kino-kz,Xsemejnoe-kino-kz,98,1,24,EPG,OK
Кино,Премиум Кино,Премиум Кино,Xpremium-kino-kz,Xpremium-kino-kz,91,1,25,EPG,OK
Кино,Кинобоевик,Кинобоевик,Xkinoboevik-kz,Xkinoboevik-kz,94,1,23,EPG,OK
Кино,Мировое Кино,Мировое Кино,Xmirovoe-kino-kz,Xmirovoe-kino-kz,98,1,27,EPG,OK
Кино,Романтичное HD,Романтичное HD,Xromantichnoe,Xromantichnoe,189,1,46,EPG,OK
Кино,Bolt HD,Bolt HD,Xbolt-ru,Xbolt-ru,214,1,64,EPG,OK
Кино,KinoLiving HD,KinoLiving HD,Xkinoliving,Xkinoliving,213,1,61,EPG,OK
Кино,Kino 24,Kino 24,Xkino-24,Xkino-24,102,1,31,EPG,OK
Кино,Start World HD,Start World HD,Xstart-world,Xstart-world,333,1,95,EPG,OK
Кино,Start World,Start World,Xstart-world,Xstart-world,333,1,95,EPG,OK
Кино,Start Air HD,Start Air HD,Xstart-air,Xstart-air,192,1,59,EPG,OK
Кино,Start Air,Start Air,Xstart-air,Xstart-air,192,1,59,EPG,OK
Кино,САПФИР,САПФИР,Xsapfir,Xsapfir,220,1,66,EPG,OK
Кино,Родное кино,Родное кино,Xrodnoe-kino,Xrodnoe-kino,128,1,39,EPG,OK
Кино,Дом Кино,Дом Кино,Xdomkino,Xdomkino,87,1,25,EPG,OK
Кино,Дом кино премиум HD,Дом кино премиум HD,Xdomkino-premium,Xdomkino-premium,95,1,30,EPG,OK
Кино,Еврокино,Еврокино,Xevrokino,Xevrokino,119,1,34,EPG,OK
Кино,Русский роман,Русский роман,Xrussky-roman,Xrussky-roman,74,1,19,EPG,OK
Кино,Русский Иллюзион,Русский Иллюзион,Xrussky-illuzion,Xrussky-illuzion,121,1,34,EPG,OK
USSR,Мосфильм. Золотая коллекция,Мосфильм. Золотая коллекция,Xmosfilm,Xmosfilm,153,1,40,EPG,OK
USSR,Мосфильм HD,Мосфильм HD,Xmosfilm,Xmosfilm,153,1,40,EPG,OK
Кино,Иллюзион +,Иллюзион +,Xilluzion-plus,Xilluzion-plus,447,1,32,EPG,OK
Кино,Мужское кино,Мужское кино,Xmuzhskoe-kino,Xmuzhskoe-kino,115,1,34,EPG,OK
Кино,Наше новое кино,Наше новое кино,Xnashe-novoe-kino,Xnashe-novoe-kino,118,1,34,EPG,OK
Кино,Trash TV,Trash TV,Xtrashtv,Xtrashtv,114,1,34,EPG,OK
Кино,Советская Киноклассика HD,Советская Киноклассика HD,Xsov-kinklass-hd,Xsov-kinklass-hd,116,1,25,EPG,OK
