playlist_name,playlist_tvg_id,group
Crime Time HD,,Германия
QVC STYLE HD,,Германия
Hohenrausch,,Германия
ClipMyHorse.TV,,Германия
OTVA HD,,Германия
Channel21 HD,X405758,Германия
NIEDERBAYERN TV HD,,Германия
Handystar TV HD,,Германия
TV1 OOE NEU,,Германия
ServusTV HD Oesterreich,,Германия
Stimmungsgarten TV,,Германия
ShopLC HD,,Германия
Volksmusik.TV NEU,,Германия
Melodie TV NEU,,Германия
R9 Oesterreich HD,,Германия
LangLab,,Германия
SES UHD Demo Channel,,Германия
SES UHD Demo Channel 06,,Германия
Channel 11,channel11.il,Израиль
Channel 14 HD,,Израиль
Channel 24,,Израиль
Hot HBO HD,X991611,Израиль
BOLLYSHOW,,Израиль
Yes TV Cinema,,Израиль
Logi,,Израиль
The Good Life,XLifeStyle.il,Израиль
Junior,,Израиль
Luli TV,,Израиль
Makan 33 IL,X991780,Израиль
Knesset Channel,XKnessetChannel.il,Израиль
Sport 5 Gold,X5Gold.il,Израиль
5Sport,,Израиль
Health Channel,XHealthChannel.il,Израиль
Food Network HD IL,XFoodNetwork.il,Израиль
Music 24,,Израиль
Israel Music,,Израиль
Shelanu TV,,Израиль
Hala TV,,Израиль
Hidabroot,hidabrot.il,Израиль
Kabala,,Израиль
Hinuhit,2711,Израиль
Kan Educational,,Израиль
FUN,,Израиль
PLUS+,,Израиль
Yamtihoni,,Израиль
Yaldut,,Израиль
Mikan,,Израиль
Kabbalah,,Израиль
Entertaiment,,Израиль
EGO TOTAL,,Израиль
FOMO,,Израиль
RAI 2 HD,,Италия
RAI 4 HD,,Италия
RAI 5 HD,,Италия
RAI Gulp HD,,Италия
RAI YOYO HD,,Италия
RAI Storia HD,,Италия
RAI Movie HD,,Италия
RAI Scuola HD,,Италия
Rai 4K,,Италия
Republika TV,,Польша
CBS Europa HD,XCBS.Europa.pl,Польша
TV Luban,,Польша
Saperavi TV,XSaperavi,Грузия
Mega TV,,Грузия
Sfero TV,,Грузия
Rcheuli TV,,Грузия
Konservatorebi,,Грузия
Rioni 2,XRioni2,Грузия
We Sport,,Молдова
A TV,,Молдова
Agro HD,,Молдова
Moldova TV,,Молдова
Star TV,,Молдова
Global 24,,Молдова
Busuioc TV,,Молдова
Noroc HD,,Молдова
ONE TV HD,,Молдова
Privesc.Eu HD,,Молдова
VB TV,,Молдова
Rlive HD,,Молдова
Tezaur HD,,Молдова
Global 24,,Молдова
TV8 HD,,Молдова
TVR,,Молдова
БНТ1,XBNT.bg,Болгария
БНТ2,XBNT.2.bg,Болгария
БНТ3,XBNT.4.bg,Болгария
БНТ4,XBNT.4.bg,Болгария
Nova HD,XNova.TV.bg,Болгария
Soul&Pepper TV HD,,Болгария
Kids Stars HD,,Болгария
Wness TV HD,,Болгария
Diema,XDiema.bg,Болгария
Diema Family HD,XDiema.Family.bg,Болгария
This is Bulgaria,,Болгария
The Fishing&Hunting Channel HD,,Болгария
Nova Sport,XNova.Sport.bg,Болгария
24 Kitchen,X24.Kitchen.bg,Болгария
Euronews Bulgaria,,Болгария
BG on AIR,XBulgaria.ON.AIR.bg,Болгария
ТВ Скат,Xskat.bg,Болгария
CodeFashion HD,Xcodefashion.bg,Болгария
Планета Фолк,,Болгария
FEN HD,,Болгария
Тянков Ориент,,Болгария
Родина ТВ,,Болгария
Фен Фолк,,Болгария
DSTV,,Болгария
City News Toronto,city-news-toronto,Канада
Treehouse,XTreehouse.ca,Канада
YTV,XYTV.(Youth.Television).-.East.ca,Канада
NTV Live Stream,,Канада
".QC.ca"" tvg-name=""ICI Television"", ICI Television","XICI.Tele.(CBFT-DT).Montréal,.QC.ca",Канада
Ontario Parliament Network Live Stream,,Канада
Amazing Discoveries TV Live Stream,,Канада
Bolywood,,Румыния
Bucuresti TV HD,,Румыния
Discovery Science HD RO,,Румыния
Fishing&Hunting RO,,Румыния
Filmbox Prem,XFilmbox.Premium.ro,Румыния
HBO AXN,,Румыния
CBS Reality RO,XCBS.Reality.ro,Румыния
N24,,Румыния
Jim Jam Ro,,Румыния
Prima TV RO,,Румыния
Pro Cinema HD,,Румыния
ProTV,,Румыния
ProTV HD,,Румыния
ProTV International,,Румыния
ProX,,Румыния
Realitatea+,,Румыния
Romania TV,,Румыния
Speranta,,Румыния
Tataf,,Румыния
Telestar 1,,Румыния
TFavorit,,Румыния
TVR2,,Румыния
TVR3,,Румыния
TVR Iasi,,Румыния
ZU,,Румыния
Action 24 GR,Xaction24-gr,Греция
Alpha GR,Xalpha-gr,Греция
Ant 1 GR,Xant1-gr,Греция
Nea TV,Xmega-gr,Греция
Star GR,Xstar-gr,Греция
Montreal Greek TV,,Греция
Polar HD,,Чехия
Polar 2 HD,,Чехия
Jihočeská televize,,Чехия
Retro Music Television,,Чехия
Šláger Original,,Чехия
Šláger Premium,,Чехия
FilmBox Stars HU,XFilmBox.Stars.hu,Венгрия
Filmbox Family  HU,XFilmbox.Family.hu,Венгрия
Direct One HU,,Венгрия
FilmBox Extra HD HU,XFilmbox.Extra.HD.hu,Венгрия
Magyar ATV HU,,Венгрия
