playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence,accuracy_status,accuracy_reason,evidence_url,quarantine
Hot Cinema 4 HD,X991587,X991587,Израиль,IL,iptv-online-primary,X991587,id,99,probable,strong exact match; no country conflict detected,,False
Hot 3 HD,X991599,X991599,Израиль,IL,iptv-online-primary,X991599,id,99,probable,strong exact match; no country conflict detected,,False
Hot 8 HD,Xערוץ.8.שידור.חי.il,Xערוץ.8.שידור.חי.il,Израиль,IL,iptv-online-primary,Xערוץ.8.שידור.חי.il,id,99,probable,strong exact match; no country conflict detected,,False
HOT Zone HD,X991583,X991583,Израиль,IL,iptv-online-primary,X991583,id,99,probable,strong exact match; no country conflict detected,,False
Yam Tiсhoni HD,X991600,X991600,Израиль,IL,iptv-online-primary,X991600,id,99,probable,strong exact match; no country conflict detected,,False
Hop!,X991589,X991589,Израиль,IL,iptv-online-primary,X991589,id,99,probable,strong exact match; no country conflict detected,,False
One HD,X991623,X991623,Израиль,IL,iptv-online-primary,X991623,id,99,probable,strong exact match; no country conflict detected,,False
One 2 HD,X991784,X991784,Израиль,IL,iptv-online-primary,X991784,id,99,probable,strong exact match; no country conflict detected,,False
Sport 1 HD,X991787,X991787,Израиль,IL,iptv-online-primary,X991787,id,99,probable,strong exact match; no country conflict detected,,False
Sport 2 HD,X991796,X991796,Израиль,IL,iptv-online-primary,X991796,id,99,probable,strong exact match; no country conflict detected,,False
Sport 3 HD,X991788,X991788,Израиль,IL,iptv-online-primary,X991788,id,99,probable,strong exact match; no country conflict detected,,False
Sport 4 HD,X991783,X991783,Израиль,IL,iptv-online-primary,X991783,id,99,probable,strong exact match; no country conflict detected,,False
Sport 5 HD,X991606,X991606,Израиль,IL,iptv-online-primary,X991606,id,99,probable,strong exact match; no country conflict detected,,False
Sport 5 Stars HD,X991790,X991790,Израиль,IL,iptv-online-primary,X991790,id,99,probable,strong exact match; no country conflict detected,,False
Sport 5 Plus HD,X991605,X991605,Израиль,IL,iptv-online-primary,X991605,id,99,probable,strong exact match; no country conflict detected,,False
Sport 5 Live HD,X991593,X991593,Израиль,IL,iptv-online-primary,X991593,id,99,probable,strong exact match; no country conflict detected,,False
Home+,X991573,X991573,Израиль,IL,iptv-online-primary,X991573,id,99,probable,strong exact match; no country conflict detected,,False
TVN Siedem HD,XTVN.7.HD.pl,XTVN.7.HD.pl,Польша,PL,iptv-online-primary,XTVN.7.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
TVP Rozrywka,XTVP.Rozrywka.pl,XTVP.Rozrywka.pl,Польша,PL,iptv-online-primary,XTVP.Rozrywka.pl,id,99,probable,strong exact match; no country conflict detected,,False
BBC Lifestyle HD,XBBC.Lifestyle.HD.pl,XBBC.Lifestyle.HD.pl,Польша,PL,iptv-online-primary,XBBC.Lifestyle.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
BBC Brit HD,XBBC.Brit.HD.pl,XBBC.Brit.HD.pl,Польша,PL,iptv-online-primary,XBBC.Brit.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
AMC HD PL,XAMC.HD.pl,XAMC.HD.pl,Польша,PL,iptv-online-primary,XAMC.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
Epic Drama HD,XEpic.Drama.HD.pl,XEpic.Drama.HD.pl,Польша,PL,iptv-online-primary,XEpic.Drama.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
E! Entertainment,XE!.Entertainment.HD.pl,XE!.Entertainment.HD.pl,Польша,PL,iptv-online-primary,XE!.Entertainment.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
Romance TV HD,XRomance.TV.HD.pl,XRomance.TV.HD.pl,Польша,PL,iptv-online-primary,XRomance.TV.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
WP HD,XWP.pl,XWP.pl,Польша,PL,iptv-online-primary,XWP.pl,id,99,probable,strong exact match; no country conflict detected,,False
SciFi HD,XSCI.FI.HD.pl,XSCI.FI.HD.pl,Польша,PL,iptv-online-primary,XSCI.FI.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
ID Investigation Discovery PL,XID.HD.pl,XID.HD.pl,Польша,PL,iptv-online-primary,XID.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
Golf Channel,XGolf.Channel.HD.pl,XGolf.Channel.HD.pl,Польша,PL,iptv-online-primary,XGolf.Channel.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
Zoom TV,XZOOM.TV.HD.pl,XZOOM.TV.HD.pl,Польша,PL,iptv-online-primary,XZOOM.TV.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
Polo TV,XPolo.TV.HD.pl,XPolo.TV.HD.pl,Польша,PL,iptv-online-primary,XPolo.TV.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
Puls 2 HD,XPULS.2.HD.pl,XPULS.2.HD.pl,Польша,PL,iptv-online-primary,XPULS.2.HD.pl,id,99,probable,strong exact match; no country conflict detected,,False
1 TV,X1TV_GE,X1TV_GE,Грузия,GE,iptv-online-primary,X1TV_GE,id,99,probable,strong exact match; no country conflict detected,,False
GDS TV,XGDS,XGDS,Грузия,GE,iptv-online-primary,XGDS,id,99,probable,strong exact match; no country conflict detected,,False
Adjara TV,XAdjara,XAdjara,Грузия,GE,iptv-online-primary,XAdjara,id,99,probable,strong exact match; no country conflict detected,,False
Rustavi 2,XRustavi2,XRustavi2,Грузия,GE,iptv-online-primary,XRustavi2,id,99,probable,strong exact match; no country conflict detected,,False
Comedy Arkhi,XComedyArkhi,XComedyArkhi,Грузия,GE,iptv-online-primary,XComedyArkhi,id,99,probable,strong exact match; no country conflict detected,,False
Formula,XFormula,XFormula,Грузия,GE,iptv-online-primary,XFormula,id,99,probable,strong exact match; no country conflict detected,,False
Ertsulovneba,XErtsulovneba,XErtsulovneba,Грузия,GE,iptv-online-primary,XErtsulovneba,id,99,probable,strong exact match; no country conflict detected,,False
Euronews Georgia,XEURONEWS_GE,XEURONEWS_GE,Грузия,GE,iptv-online-primary,XEURONEWS_GE,id,99,probable,strong exact match; no country conflict detected,,False
Silk Universal,XSilk_Universal,XSilk_Universal,Грузия,GE,iptv-online-primary,XSilk_Universal,id,99,probable,strong exact match; no country conflict detected,,False
Setanta Sports 2,XSetanta Sports 2,XSetanta Sports 2,Грузия,GE,iptv-online-primary,XSetanta Sports 2,id,99,probable,strong exact match; no country conflict detected,,False
bTV,XbTV.bg,XbTV.bg,Болгария,BG,iptv-online-primary,XbTV.bg,id,99,probable,strong exact match; no country conflict detected,,False
Kino Nova HD,XKinoNova.bg,XKinoNova.bg,Болгария,BG,iptv-online-primary,XKinoNova.bg,id,99,probable,strong exact match; no country conflict detected,,False
bTV Action,XbTV.Action.bg,XbTV.Action.bg,Болгария,BG,iptv-online-primary,XbTV.Action.bg,id,99,probable,strong exact match; no country conflict detected,,False
bTV Comedy,XbTV.Comedy.bg,XbTV.Comedy.bg,Болгария,BG,iptv-online-primary,XbTV.Comedy.bg,id,99,probable,strong exact match; no country conflict detected,,False
bTV Cinema,XbTV.Cinema.bg,XbTV.Cinema.bg,Болгария,BG,iptv-online-primary,XbTV.Cinema.bg,id,99,probable,strong exact match; no country conflict detected,,False
