enabled,playlist_name,source,source_id,notes
1,VeleS 60FPS,tvteam,ch2591,auto-discovered from live title; similarity=1.000; observed=Король Лев (2019); candidate=Король Лев (2019).; requires two positive observations before selection
1,VeleS 60FPS,epgone-ru2,8760,auto-discovered from live title; similarity=1.000; observed=Король Лев (2019); candidate=Король Лев (2019).; requires two positive observations before selection
1,VeleS 60FPS,gabbarit-current,VeleS 60FPS,auto-discovered from live title; similarity=1.000; observed=Король Лев (2019); candidate=Король Лев (2019).; requires two positive observations before selection
1,VeleS 60FPS,gabbarit-primary,VeleS 60FPS,auto-discovered from live title; similarity=1.000; observed=Король Лев (2019); candidate=Король Лев (2019).; requires two positive observations before selection
1,VeleS 60FPS,gabbarit-mirror,VeleS 60FPS,auto-discovered from live title; similarity=1.000; observed=Король Лев (2019); candidate=Король Лев (2019).; requires two positive observations before selection
1,VeleS 60FPS,epgone-full-movie-rescue,8760,auto-discovered from live title; similarity=1.000; observed=Король Лев (2019); candidate=Король Лев (2019).; requires two positive observations before selection
1,Premiere HD 2,gabbarit-current,Premiere HD 2,auto-discovered from live title; similarity=1.000; observed=Моана; candidate=Моана (2026).; requires two positive observations before selection
1,Premiere HD 2,gabbarit-primary,Premiere HD 2,auto-discovered from live title; similarity=1.000; observed=Моана; candidate=Моана (2026).; requires two positive observations before selection
1,Premiere HD 2,gabbarit-mirror,Premiere HD 2,auto-discovered from live title; similarity=1.000; observed=Моана; candidate=Моана (2026).; requires two positive observations before selection
1,Premiere HD 2,epgone-full-movie-rescue,1122,auto-discovered from live title; similarity=1.000; observed=Моана; candidate=Моана; requires two positive observations before selection
1,MM Ужастик HD,iptv-online-primary,Xminimax-ujastik,auto-discovered from live title; similarity=0.950; observed=Мурашки | 3-17; candidate=х/ф Мурашки-3-17; requires two positive observations before selection
1,MM Ужастик HD,iptvx-noarch,minimax-ujastik,auto-discovered from live title; similarity=0.950; observed=Мурашки | 3-17; candidate=х/ф Мурашки-3-17; requires two positive observations before selection
1,MM Ужастик HD,minimax-mm-dedicated,ujastik-mm,auto-discovered from live title; similarity=1.000; observed=Мурашки | 3-17; candidate=Мурашки-3-17; requires two positive observations before selection
1,MM Ужастик HD,tvteam,ch1264,auto-discovered from live title; similarity=1.000; observed=Мурашки | 3-17; candidate=Мурашки-3-17; requires two positive observations before selection
1,MM Ужастик HD,epgone-full-movie-rescue,5172,auto-discovered from live title; similarity=1.000; observed=Мурашки | 3-17; candidate=Мурашки-3-17; requires two positive observations before selection
