enabled,observed_at,playlist_name,observed_title,origin,notes
1,2026-09-12T10:06:19.942795+00:00,MM Стивен Кинг HD,Институт | 1-3,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=22.0
1,2026-09-12T11:06:14.936395+00:00,MM Супергерои HD,Супермен (2025),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.0
1,2026-09-12T11:06:14.936395+00:00,YOSSO-4K,Флоззойю,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=22.0
1,2026-09-12T13:07:10.274292+00:00,Кино Топ,прое,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.0
1,2026-09-12T13:07:10.274292+00:00,MM 007 HD,Живи и дай умереть (1973),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=23.75
1,2026-09-12T13:07:10.274292+00:00,MM Honey HD,Маша и Медве,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=22.5
1,2026-09-12T13:07:10.274292+00:00,MM Супергерои HD,Супергёрл (2026),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=17.25
1,2026-09-12T14:07:05.349149+00:00,MM USSR 1941-1945 HD,Время выбрало нас | 1979,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=14.75
1,2026-09-12T14:07:05.349149+00:00,BOX Relax 4K,разн,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.0
1,2026-09-12T15:06:41.493031+00:00,YOSSO-4K,Фуоззовк,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=22.0
1,2026-09-12T16:06:46.979793+00:00,CPS Anime,(фильм второй),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=13.75
1,2026-09-12T17:19:20.042537+00:00,Premiere HD 2,РЕЕМТЕВЕ [1,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=17.0
1,2026-09-12T17:19:20.042537+00:00,Premiere HD 3,Всего одна ночь,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=18.25
1,2026-09-12T17:19:20.042537+00:00,YOSSO-4K,@уоззок,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.5
1,2026-09-12T18:06:29.715722+00:00,CPS Western,WHITE MOUNTAIN APACHE TRIBE,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=20.0
1,2026-09-12T19:06:12.160490+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.25
1,2026-09-12T19:06:12.160490+00:00,РуКино HD,МЕСТО!,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.25
1,2026-09-12T19:06:12.160490+00:00,MM Триллер HD,Закат убийцы (2025),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=13.75
1,2026-09-12T21:07:49.075750+00:00,Thriller HD,ОСНОВНОЙ ИНСТИНКТ,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=24.0
1,2026-09-12T21:07:49.075750+00:00,BOX Relax 4K,реке,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.0
1,2026-09-12T22:06:29.296985+00:00,VeleS Криминальный,Убийца (2023),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.5
